source,target,weight
Capital University of Economics and Business,Beijing University of Chemical Technology,4.0
Capital University of Economics and Business,University of Chinese Academy of Sciences,6.0
Catholic University of Korea,Korea University,22.0
Catholic University of Korea,Hanyang University,4.0
Catholic University of Korea,Korea University Medical Center,4.0
Catholic University of Korea,Kyung Hee University,6.0
Catholic University of Korea,University of Houston,2.0
Catholic University of Korea,Uijeongbu St. Mary's Hospital,4.0
Catholic University of Korea,Seoul National University,4.0
Catholic University of Korea,Electronics and Telecommunications Research Institute,4.0
Haluoleo University,Universitas 17 Agustus 1945 Semarang,4.0
Haluoleo University,EAE Business School,4.0
Haluoleo University,Krida Wacana Christian University,4.0
Unitelma Sapienza University,University of Sannio,4.0
Unitelma Sapienza University,Sapienza University of Rome,4.0
Unitelma Sapienza University,Institute of Materials for Electronics and Magnetism,2.0
Association of Research Libraries,Seinan Gakuin University,2.0
Association of Research Libraries,Ochanomizu University,2.0
Özyeğin University,İzmir University of Economics,2.0
Özyeğin University,Bahçeşehir University,2.0
Özyeğin University,Boğaziçi University,6.0
Indian Institute of Technology Madras,Indian Statistical Institute,4.0
Indian Institute of Technology Madras,Indian Institute of Technology Delhi,8.0
Indian Institute of Technology Madras,"Indian Institute of Information Technology, Pune",12.0
Indian Institute of Technology Madras,Chaitanya Bharathi Institute of Technology,6.0
Indian Institute of Technology Madras,Flame University,16.0
Indian Institute of Technology Madras,University of Washington,6.0
Indian Institute of Technology Madras,University of Calgary,2.0
Indian Institute of Technology Madras,SRM Institute of Science and Technology,2.0
Indian Institute of Technology Madras,Ollscoil na Gaillimhe – University of Galway,4.0
Indian Institute of Technology Madras,Indian Institute of Technology Kharagpur,6.0
Indian Institute of Technology Madras,Indian Institute of Science Education and Research Kolkata,6.0
Indian Institute of Technology Madras,Indian Institute of Technology Kanpur,2.0
Indian Institute of Technology Madras,Indian Institute of Science Bangalore,4.0
Indian Institute of Technology Madras,The University of Texas at Austin,12.0
Indian Institute of Technology Madras,University of Cambridge,2.0
Indian Institute of Technology Madras,Georgia Institute of Technology,6.0
Indian Institute of Technology Madras,UNSW Sydney,2.0
Indian Institute of Technology Madras,St. John's National Academy of Health Sciences,2.0
Indian Institute of Technology Madras,Healthcare Technology Innovation Centre,6.0
Qualcomm (United States),"University of California, San Diego",20.0
Qualcomm (United States),Bryn Mawr College,2.0
Qualcomm (United States),Johns Hopkins University,2.0
Qualcomm (United States),Qualcomm (Canada),18.0
Software (Germany),Technical University of Munich,4.0
Software (Germany),Universidad Politécnica de Madrid,4.0
Software (Germany),Biochemistry Research Institute of La Plata,4.0
Software (Germany),University of Massachusetts Boston,4.0
Pennington Biomedical Research Center,Texas Tech University,2.0
Bangladesh University of Textiles,Bangladesh University of Engineering and Technology,4.0
Universidad de Salamanca,Aristotle University of Thessaloniki,12.0
Universidad de Salamanca,University of Milan,6.0
Universidad de Salamanca,Universidad de Murcia,4.0
Universidad de Salamanca,University of Alicante,2.0
Universidad de Salamanca,Universidad de León,2.0
Universidad de Salamanca,Hospital Universitario de Getafe,12.0
Universidad de Salamanca,DXC Technology (United States),2.0
Universidad de Salamanca,Universidad Rey Juan Carlos,6.0
Universidad de Salamanca,Ferdowsi University of Mashhad,4.0
Universidad de Salamanca,University of Oslo,4.0
Universidad de Salamanca,Autonomous University of Madrid,6.0
Rothman Orthopaedics,Thomas Jefferson University Hospital,16.0
Rothman Orthopaedics,Penn State Milton S. Hershey Medical Center,6.0
Rothman Orthopaedics,Rothman Institute,4.0
Rothman Orthopaedics,Google (United States),2.0
Hunan International Economics University,National University of Defense Technology,4.0
Universidad de Murcia,Saarland University,8.0
Universidad de Murcia,Institut Guttmann,2.0
Universidad de Murcia,University of Science and Technology of China,2.0
Universidad de Murcia,Chinese Academy of Sciences,2.0
Universidad de Murcia,Northern University of Malaysia,2.0
Universidad de Murcia,Universidad de Salamanca,4.0
Universidad de Murcia,Universidad de Jaén,24.0
Universidad de Murcia,University of Castilla-La Mancha,10.0
Universidad de Murcia,Clinica Universidad de Navarra,2.0
Universidad de Murcia,Universidad de Navarra,18.0
Universidad de Murcia,Universidad de Alcalá,4.0
Universidad de Murcia,University of Gothenburg,4.0
Universidad de Murcia,Sigmund Freud University Vienna,2.0
Universidad de Murcia,Universidade do Porto,2.0
Universidad de Murcia,Catholic University of Central Africa,2.0
Universidad de Murcia,Jefferson College,2.0
Universidad de Murcia,McGill University,8.0
Universidad de Murcia,Linköping University,2.0
Universidad de Murcia,Universitat Oberta de Catalunya,2.0
Universidad de Murcia,Hebrew University of Jerusalem,2.0
Universidad de Murcia,Autonomous University of Madrid,6.0
Universidad de Murcia,Massachusetts Institute of Technology,4.0
Institute of Engineering,Dr. A.P.J. Abdul Kalam Technical University,4.0
Institute of Engineering,GLA University,4.0
Institute of Engineering,Graphic Era University,4.0
Institute of Engineering,Saveetha University,4.0
Institute of Engineering,Iraqi University,2.0
Institute of Engineering,Aeronautical Development Agency,2.0
Institute of Engineering,Mangalayatan University,2.0
Institute of Engineering,Lovely Professional University,8.0
Institute of Engineering,Horizon College and Seminary,6.0
Institute of Engineering,Indian Institute of Information Technology Design and Manufacturing Jabalpur,2.0
Institute of Engineering,Thi Qar University,4.0
Institute of Engineering,University of the Cumberlands,2.0
Institute of Engineering,National University of Science and Technology,2.0
Intelligent Health (United Kingdom),Center for Information Technology,12.0
Intelligent Health (United Kingdom),Beijing University of Posts and Telecommunications,4.0
Intelligent Health (United Kingdom),Northwestern Polytechnical University,2.0
Intelligent Health (United Kingdom),Al Jouf University,2.0
Intelligent Health (United Kingdom),University of Bisha,2.0
Intelligent Health (United Kingdom),Al Baha University,2.0
Intelligent Health (United Kingdom),Zhoukou Normal University,2.0
Intelligent Health (United Kingdom),University of East London,50.0
Intelligent Health (United Kingdom),ShanghaiTech University,6.0
Intelligent Health (United Kingdom),Shanghai Jiao Tong University,6.0
Intelligent Health (United Kingdom),Shanghai Center for Brain Science and Brain-Inspired Technology,6.0
Queen Mary University of London,Technical University of Darmstadt,6.0
Queen Mary University of London,Leibniz University Hannover,2.0
Queen Mary University of London,Bocconi University,6.0
Queen Mary University of London,Imperial College London,4.0
Queen Mary University of London,FACE Foundation,34.0
Queen Mary University of London,Leipzig University,2.0
Queen Mary University of London,Ferrum College,2.0
Queen Mary University of London,Mavenoid (Sweden),2.0
Queen Mary University of London,Booz Allen Hamilton (United States),2.0
