source,target,weight
Computational Geoscience and Reservoir Engineering,Geosciences,6.0
Computational Geoscience and Reservoir Engineering,Engineering Geology and Hydrogeology,6.0
Information Systems Architecture,Tourism,2.0
Information Systems Architecture,Information Technology,2.0
Information Systems Architecture,Informatics,12.0
Information Systems Architecture,Social Informatics,2.0
Information Systems Architecture,Computing,2.0
Information Systems Architecture,Detection,2.0
Technical College,Computer Science,4.0
Universe and Particles,Image Acquisition and Processing for Health,20.0
Universe and Particles,Computing,8.0
Universe and Particles,Physics,4.0
Marketing and Communication,Computer Research,4.0
High Temperature Gas Dynamics,Pharmacy,4.0
High Temperature Gas Dynamics,Fundamental Physics,2.0
High Temperature Gas Dynamics,"Chemistry, Biology, Biotechnology",2.0
High Temperature Gas Dynamics,Engineering Science,2.0
"Informatics, Robotics and Cybernetics","Informatics, Robotics, Cybernetics, Electrical Engineering, Control Engineering",12.0
"Informatics, Robotics and Cybernetics",Computing and Control Engineering,2.0
"Informatics, Robotics and Cybernetics",Applied Informatics,2.0
"Informatics, Robotics and Cybernetics",Neurology,2.0
"Informatics, Robotics and Cybernetics",Clinical Research,90.0
"Informatics, Robotics and Cybernetics",Experimental Biology,90.0
HTS,Molecular Cell Biology,4.0
Clinical Research and Health Policy Studies,Environmental Genomics and Systems Biology,2.0
Clinical Research and Health Policy Studies,Genomic Medicine,10.0
Clinical Research and Health Policy Studies,Translational Health Research,2.0
Clinical Research and Health Policy Studies,Biomedical Informatics,4.0
Clinical Research and Health Policy Studies,Informatics,8.0
Clinical Research and Health Policy Studies,Biostatistics,2.0
Clinical Research and Health Policy Studies,Computer Science,4.0
Clinical Research and Health Policy Studies,Clinical and Translational Science,2.0
Clinical Research and Health Policy Studies,Research Institute,2.0
Clinical Research and Health Policy Studies,"Medicine, Public Health, Nursing",2.0
Clinical Research and Health Policy Studies,Systems Genomics,2.0
Clinical Research and Health Policy Studies,Endocrinology and Metabolism,32.0
Clinical Research and Health Policy Studies,Business,2.0
Clinical Research and Health Policy Studies,Cancer Institute,2.0
Clinical Research and Health Policy Studies,Cardiovascular and Renal Research,2.0
Clinical Research and Health Policy Studies,Social Policy and Management,2.0
Nonlinear Dynamics,Mechanical and Aerospace Engineering,4.0
Computer Engineering and Technology,CET,2.0
Computer Engineering and Technology,Electronic and Information Engineering,4.0
Computer Engineering and Technology,Telecommunications Software and Systems,6.0
Computer Engineering and Technology,Information and Communications Engineering,12.0
Computer Engineering and Technology,Computer Engineering,6.0
Computer Engineering and Technology,Computer Science,16.0
Computer Engineering and Technology,Radiology,2.0
Computer Engineering and Technology,Information Systems and Computer Science,2.0
Computer Engineering and Technology,Informatics,6.0
Human Phenome Institute,Anthropology and Human Genetics,98.0
Human Phenome Institute,Criminal Investigation,28.0
Human Phenome Institute,Public Security,28.0
Human Phenome Institute,Forensic Medicine,28.0
Human Phenome Institute,Life Sciences,14.0
Human Phenome Institute,Radiology,36.0
Human Phenome Institute,Portal Hypertension,12.0
Human Phenome Institute,Medicine,2.0
Human Phenome Institute,General Surgery,2.0
Human Phenome Institute,Gastroenterology and Hepatology,2.0
Human Phenome Institute,Interventional Therapy,2.0
Human Phenome Institute,Molecular Imaging,8.0
Human Phenome Institute,Gastroenterology,6.0
