source,target,weight
Calvary Mater Newcastle Hospital,University of Melbourne,2.0
Calvary Mater Newcastle Hospital,Hunter Water,2.0
Calvary Mater Newcastle Hospital,Harvard University,2.0
Calvary Mater Newcastle Hospital,University of Newcastle Australia,4.0
Calvary Mater Newcastle Hospital,Hunter Medical Research Institute,8.0
Calvary Mater Newcastle Hospital,John Hunter Hospital,4.0
University of Rio Grande and Rio Grande Community College,National Institute for Space Research,4.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,4.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,State Key Laboratory on Integrated Optoelectronics,2.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Tampere University,4.0
Africa Nazarene University,University of Nairobi,4.0
Instituto Federal do Sul de Minas,Universidade Estadual Paulista (Unesp),4.0
Instituto Federal do Sul de Minas,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso",8.0
Hertie Institute for Clinical Brain Research,University of South Carolina,16.0
Hertie Institute for Clinical Brain Research,Saarland University,84.0
Hertie Institute for Clinical Brain Research,Heidelberg University,12.0
Hertie Institute for Clinical Brain Research,St. Franziskus Hospital,12.0
Hertie Institute for Clinical Brain Research,University of Tübingen,36.0
Hertie Institute for Clinical Brain Research,University Children's Hospital Tübingen,12.0
Hertie Institute for Clinical Brain Research,Allensbach Institute,6.0
Hertie Institute for Clinical Brain Research,Max Planck Institute for Biological Cybernetics,6.0
Hertie Institute for Clinical Brain Research,University of Trento,6.0
Rheumazentrum Ruhrgebiet,Universitätsmedizin Greifswald,12.0
Research!America (United States),Samsung (United States),10.0
Universidade do Estado de Minas Gerais,Universidade Federal de Minas Gerais,18.0
Universidade do Estado de Minas Gerais,Universidade Federal do Maranhão,6.0
Universidade do Estado de Minas Gerais,Universidade Luterana do Brasil,6.0
Food and Drug Administration,Massachusetts General Hospital,2.0
Food and Drug Administration,Peter MacCallum Cancer Centre,2.0
Food and Drug Administration,MRIGlobal,8.0
Food and Drug Administration,Center for Biologics Evaluation and Research,4.0
Food and Drug Administration,Center for Devices and Radiological Health,2.0
Academy of Economic Security,University of Engineering and Technology Lahore,2.0
Indian Agricultural Statistics Research Institute,Odisha University of Agriculture and Technology,28.0
Indian Agricultural Statistics Research Institute,Uttarakhand State Council for Science and Technology,8.0
Indian Agricultural Statistics Research Institute,Academy of Scientific and Innovative Research,4.0
Indian Agricultural Statistics Research Institute,Institute of Himalayan Bioresource Technology,6.0
Indian Agricultural Statistics Research Institute,Indian Institute of Rice Research,20.0
Indian Agricultural Statistics Research Institute,University of Zagreb,2.0
Indian Agricultural Statistics Research Institute,Professor Jayashankar Telangana State Agricultural University,2.0
Indian Agricultural Statistics Research Institute,Acharya N. G. Ranga Agricultural University,2.0
Indian Agricultural Statistics Research Institute,National Research Centre on Plant Biotechnology,6.0
Indian Agricultural Statistics Research Institute,National Bureau of Plant Genetic Resources,6.0
Indian Agricultural Statistics Research Institute,Chaudhary Charan Singh Haryana Agricultural University,6.0
Indian Agricultural Statistics Research Institute,Indian Council of Agricultural Research,6.0
Indian Agricultural Statistics Research Institute,M.J.P. Rohilkhand University,6.0
Indian Agricultural Statistics Research Institute,University of Massachusetts Amherst,6.0
Indian Agricultural Statistics Research Institute,Indian Agricultural Research Institute,12.0
Indian Agricultural Statistics Research Institute,Shiv Nadar University,6.0
"Sächsisches Staatsministerium für Energie, Klimaschutz, Umwelt und Landwirtschaft",Martin Luther University Halle-Wittenberg,6.0
"Sächsisches Staatsministerium für Energie, Klimaschutz, Umwelt und Landwirtschaft",TU Bergakademie Freiberg,12.0
Département d'Informatique,"University of California, Berkeley",4.0
Azienda USL di Bologna,University Hospital of Zurich,36.0
Azienda USL di Bologna,Istituto delle Scienze Neurologiche di Bologna,22.0
Azienda USL di Bologna,University of Zurich,2.0
Azienda USL di Bologna,University of Bologna,16.0
Azienda USL di Bologna,Islamia University of Bahawalpur,4.0
Azienda USL di Bologna,Shaukat Khanum Memorial Cancer Hospital and Research Center,4.0
Azienda USL di Bologna,Italian Institute of Technology,4.0
Rigetti Computing (United States),Colorado School of Mines,12.0
Rigetti Computing (United States),University of Colorado Boulder,4.0
Rigetti Computing (United States),Fermi National Accelerator Laboratory,2.0
Rigetti Computing (United States),National Institute of Standards and Technology,2.0
Center for Research in Molecular Medicine and Chronic Diseases,University of Manitoba,64.0
Center for Research in Molecular Medicine and Chronic Diseases,CenterLine (Canada),8.0
Center for Research in Molecular Medicine and Chronic Diseases,Beth Israel Deaconess Medical Center,16.0
Center for Research in Molecular Medicine and Chronic Diseases,Public Health Agency of Canada,24.0
Center for Research in Molecular Medicine and Chronic Diseases,University of Nebraska–Lincoln,16.0
Center for Research in Molecular Medicine and Chronic Diseases,George & Fay Yee Centre for Healthcare Innovation,8.0
Center for Research in Molecular Medicine and Chronic Diseases,"Ragon Institute of MGH, MIT and Harvard",8.0
Center for Research in Molecular Medicine and Chronic Diseases,Constructor University,2.0
Center for Research in Molecular Medicine and Chronic Diseases,Biogipuzkoa Health Research Institute,8.0
Center for Research in Molecular Medicine and Chronic Diseases,Universitat Autònoma de Barcelona,4.0
Center for Research in Molecular Medicine and Chronic Diseases,Hospital Universitario Doctor Peset,4.0
Charles River Associates,Henrietta Egleston Hospital for Children,2.0
Charles River Associates,Takeda (United States),8.0
Instituto Médico Platense,Hospital Provincial de Rosario,2.0
Front Range Scientific Computations,University of Colorado Boulder,8.0
Casper College,Yıldız Technical University,2.0
Korea Fisheries Resources Agency,Korea Advanced Institute of Science and Technology,16.0
DNA Link (South Korea),Seoul National University Hospital,24.0
University of Alabama at Birmingham,University of Rochester Medical Center,48.0
University of Alabama at Birmingham,The University of Texas MD Anderson Cancer Center,18.0
University of Alabama at Birmingham,University of Chicago Medical Center,18.0
University of Alabama at Birmingham,University of Rochester,12.0
