source,target,weight
Information Systems Architecture,Computer Science and Engineering,50.0
Information Systems Architecture,Mathematical and Systems Engineering,50.0
Information Systems Architecture,Informatics and Engineering,50.0
Information Systems Architecture,Electronics and Information Engineering,50.0
Research and Technology Development,Engineering,4.0
Technical College,Animal Science,6.0
Technical College,Rural Studies,4.0
Journalism and Communications,Communication,2.0
Nursing Informatics,Community Health Nursing,8.0
Nursing Informatics,Community and Public Health Nursing,4.0
High Temperature Gas Dynamics,Engineering Thermophysics,32.0
High Temperature Gas Dynamics,Engineering Science,48.0
Rail Systems Management,Aviation Management,2.0
Medical Dataology,Public Administration and Policy,12.0
Medical Dataology,Health Management,6.0
Paediatric Endocrinology,Paediatrics,8.0
Paediatric Endocrinology,Endocrinology and Diabetes,4.0
Paediatric Endocrinology,Medicine,4.0
Paediatric Endocrinology,Paediatrics and Biochemistry,4.0
Paediatric Endocrinology,Developmental Endocrinology,28.0
Paediatric Endocrinology,Paediatric Endocrinology and Diabetes,14.0
Paediatric Endocrinology,Paediatric Endocrine,14.0
Econ.,Computer and Management Information Systems,2.0
Econ.,Economics,2.0
Nonlinear Dynamics,Mathematics,8.0
Nonlinear Dynamics,Chemistry,4.0
Nonlinear Dynamics,"Nanoscience, Environmental Science, Biomedical Applications, Education",4.0
Nonlinear Dynamics,Nanotechnology,2.0
Nonlinear Dynamics,Physics,8.0
Nonlinear Dynamics,Medical and Bio-Allied Health Sciences,2.0
Nonlinear Dynamics,Mathematics and Sciences,2.0
Energy Economics,Econometrics,4.0
Energy Economics,"Agricultural Economics, Sociology, Education",4.0
Energy Economics,Finance,4.0
Energy Economics,Economics,4.0
Energy Economics,Renewable Energy,12.0
Energy Economics,Energy and Processes,2.0
Management and Accounting,Entrepreneurship,2.0
Management and Accounting,Management and Economics,2.0
Management and Accounting,Business Administration and Management Studies,2.0
Tropical Research,Life Science,4.0
Tropical Research,Biology,2.0
Tropical Research,Plant Biology,4.0
Tropical Research,Ecology of Plants,6.0
Tropical Research,Functional Morphology and Biomechanics,2.0
Tropical Research,Ecology and Evolution,2.0
Tropical Research,Marine Biology,2.0
Tropical Research,Paleobiology,2.0
Tropical Research,Biosciences,4.0
Tropical Research,Paleontology,4.0
Tropical Research,Palaeontology,2.0
Tropical Research,"Paleobiology, Marine Biology, Biology",2.0
Tropical Research,Ecology and Evolution; Natural Resources and Sustainability,2.0
"Natural Cooling, Cold Accumulation",Engineering and Information Technology,144.0
"Natural Cooling, Cold Accumulation",Cryogenic Engineering,72.0
"Natural Cooling, Cold Accumulation",Technical Sciences,72.0
"Internal Medicine, Haematology, Oncology","Internal Medicine IV – Gastroenterology, Hepatology and Infectious Diseases",6.0
"Internal Medicine, Haematology, Oncology","Internal Medicine, Haematology, Oncology, Stem Cell Transplantation, Palliative Care",2.0
Intensive care medicine,Cardiology,54.0
Intensive care medicine,Intensive Care Medicine,26.0
Intensive care medicine,Intensive Care,2.0
Intensive care medicine,Epidemiology and Data Science,2.0
Pediatric Medicine,Medical University,4.0
Pediatric Medicine,Pharmacy,8.0
Pediatric Medicine,Oncology,8.0
