source,target,weight
Calvary Mater Newcastle Hospital,University of Newcastle Australia,18.0
Calvary Mater Newcastle Hospital,BIO Ventures for Global Health,2.0
Calvary Mater Newcastle Hospital,Johns Hopkins Medicine,8.0
Calvary Mater Newcastle Hospital,Uganda Cancer Institute,4.0
Calvary Mater Newcastle Hospital,Erasmus MC Cancer Institute,2.0
Calvary Mater Newcastle Hospital,UPMC Hillman Cancer Center,2.0
Calvary Mater Newcastle Hospital,University of Pennsylvania Health System,2.0
Calvary Mater Newcastle Hospital,Muhimbili University of Health and Allied Sciences,2.0
Calvary Mater Newcastle Hospital,Cornell University,2.0
Calvary Mater Newcastle Hospital,Lagos University Teaching Hospital,2.0
University of Rio Grande and Rio Grande Community College,Universidade Federal de Pelotas,6.0
University of Rio Grande and Rio Grande Community College,Universidade Federal de Ciências da Saúde de Porto Alegre,18.0
University of Rio Grande and Rio Grande Community College,Hospital Nossa Senhora da Conceição,4.0
University of Rio Grande and Rio Grande Community College,Columbia University,2.0
Observatoire de Lyon,Centre de Recherche Astrophysique de Lyon,2.0
Observatoire de Lyon,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2.0
Observatoire de Lyon,Université Claude Bernard Lyon 1,2.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Institute for Physical Research,12.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Laboratoire de Physique des Gaz et des Plasmas,4.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Okinawa Institute of Science and Technology Graduate University,2.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,University of Copenhagen,2.0
Laboratoire Interdisciplinaire Carnot de Bourgogne,Laboratoire Collisions Agrégats Réactivité,2.0
Instituto Federal do Sul de Minas,Louisiana State University Agricultural Center,10.0
Hertie Institute for Clinical Brain Research,University of Tübingen,44.0
Hertie Institute for Clinical Brain Research,German Center for Neurodegenerative Diseases,28.0
Hertie Institute for Clinical Brain Research,Institut Cellule Souche et Cerveau,4.0
Hertie Institute for Clinical Brain Research,Senckenberg Centre for Human Evolution and Palaeoenvironment,18.0
Hertie Institute for Clinical Brain Research,Universitätsmedizin Göttingen,16.0
Hertie Institute for Clinical Brain Research,Center for Neuroscience and Cognitive Systems,4.0
Hertie Institute for Clinical Brain Research,University Hospital Bonn,8.0
Hertie Institute for Clinical Brain Research,Radboud University Nijmegen,8.0
