source,target,weight
IS,US,64.0
IS,CH,6.0
IS,CA,6.0
IS,PL,2.0
AW,AG,108.0
AW,CW,24.0
AW,PL,12.0
AZ,KZ,6.0
AZ,US,2.0
AZ,TR,2.0
AZ,CA,4.0
AZ,AU,22.0
AZ,GB,2.0
GA,IT,2.0
GA,DK,4.0
GA,CZ,2.0
GA,JP,2.0
AG,CH,4.0
AG,IT,10.0
AG,GR,2.0
AG,TR,4.0
AG,AW,108.0
AG,CW,36.0
AG,PL,18.0
YE,US,2.0
YE,GB,4.0
YE,KR,18.0
YE,IN,4.0
YE,JO,30.0
YE,ID,4.0
YE,MY,34.0
YE,SA,16.0
YE,NG,8.0
YE,PK,2.0
YE,IQ,12.0
BE,DE,62.0
BE,NL,44.0
BE,ES,62.0
BE,IT,180.0
BE,NO,12.0
BE,AU,28.0
BE,GB,150.0
BE,AT,26.0
BE,US,654.0
BE,RS,2.0
BE,JP,6.0
BE,CH,32.0
BE,CL,24.0
BE,IN,6.0
BE,AR,4.0
BE,IL,2.0
BE,PK,4.0
BE,EC,2.0
BE,FR,218.0
BE,CN,22.0
BE,SE,6.0
BE,ZA,4.0
BE,HR,4.0
BE,TR,26.0
BE,MK,4.0
BE,CA,34.0
BE,NZ,4.0
BE,MX,8.0
BE,TW,2.0
BE,SG,8.0
BE,RU,2.0
BE,BR,2.0
BE,CO,10.0
BE,MT,20.0
BE,PT,8.0
BE,IE,2.0
BE,GR,4.0
BE,SI,2.0
BE,FI,6.0
BE,DK,8.0
BE,ID,6.0
CM,CA,2.0
CM,ZA,6.0
CM,ES,14.0
CM,SE,2.0
CM,US,2.0
CM,MY,2.0
AL,DE,2.0
NA,DE,10.0
NA,US,14.0
NA,JP,2.0
NA,GB,8.0
NA,FI,2.0
NA,PT,2.0
NA,UG,14.0
NA,ZA,2.0
NA,NG,6.0
NA,CN,4.0
NA,NE,2.0
NA,SE,2.0
NA,CA,2.0
GB,DE,1052.0
GB,AU,652.0
GB,SE,108.0
GB,IL,148.0
GB,US,7648.0
GB,EE,28.0
GB,YE,4.0
GB,IT,756.0
GB,NO,124.0
GB,AT,80.0
GB,RS,2.0
GB,BE,150.0
GB,SG,460.0
GB,PK,142.0
GB,CN,3406.0
GB,TW,78.0
GB,NZ,36.0
GB,NL,378.0
GB,KR,136.0
GB,CA,672.0
GB,CH,576.0
GB,FR,340.0
GB,JP,222.0
GB,DZ,18.0
GB,IN,396.0
GB,ES,324.0
GB,HK,138.0
GB,DK,158.0
GB,SA,270.0
GB,PL,64.0
GB,KW,8.0
GB,RU,106.0
GB,CY,18.0
GB,OM,18.0
GB,GR,134.0
GB,TR,126.0
GB,IR,112.0
GB,BY,4.0
GB,SD,24.0
GB,KY,2.0
GB,PT,46.0
GB,SI,44.0
GB,BD,104.0
GB,FI,74.0
GB,UA,32.0
GB,UG,64.0
GB,ZA,46.0
GB,NG,152.0
GB,NE,8.0
GB,NA,8.0
GB,MY,156.0
