source,target,weight
Neuroscience and Medicine,Cognition and Plasticity,12.0
Neurology,Public Health,74.0
Neurology,Communication Sciences and Disorders,12.0
Neurology,Hearing and Speech Sciences,10.0
Neurology,Mind/Brain Sciences,10.0
Neurology,Visual and Neurocognitive Rehabilitation,8.0
Neurology,Health and Rehabilitation Sciences,2.0
Neurology,Communication Disorders and Special Education,2.0
Neurology,Brain Repair and Rehabilitation,2.0
Neurology,Pediatrics,16.0
Neurology,Epilepsy Research,2.0
Neurology,Neurosurgery,56.0
Neurology,Cognitive Neurology,2.0
Neurology,Biostatistics,24.0
Neurology,Radiology,244.0
Neurology,Medical,14.0
Neurology,Psychiatry and Psychology,14.0
Neurology,Radiology and Radiological Science,12.0
Neurology,Cognitive Science,14.0
Neurology,Clinical Data Animation,60.0
Neurology,Pulmonary and Critical Care Medicine,10.0
Neurology,Infectious Diseases,18.0
Neurology,Preventive Medicine,52.0
Neurology,Psychiatry,50.0
Neurology,Preventive and Social Medicine,6.0
Neurology,Neuroscience,140.0
Neurology,AI Research,32.0
Neurology,Brain and Cognitive Sciences,32.0
Neurology,Linguistics,32.0
Neurology,Biomedical Engineering,28.0
Neurology,Epilepsy,12.0
Neurology,Cardiovascular Disease,14.0
Neurology,Data Sciences,18.0
Neurology,Cardiovascular Research,6.0
Neurology,General Internal Medicine,10.0
Neurology,Cardiac Arrhythmia Service,4.0
Neurology,Clinical Research,10.0
Neurology,Human Anatomy,2.0
Neurology,Injury Control Research,4.0
Neurology,Epidemiology,8.0
Neurology,Artificial Intelligence,30.0
Neurology,Aging and Health Research,8.0
Neurology,Geriatrics and Gerontology,8.0
Neurology,Quantitative Biomedicine,4.0
Neurology,Biomedical Imaging,8.0
Neurology,Biomedical Informatics,32.0
Neurology,Internal Medicine,38.0
Neurology,Medicine,114.0
Neurology,Biological Sciences,2.0
Neurology,Population Health Sciences,6.0
Neurology,Gastroenterology and Hepatology,8.0
Neurology,Computer Science,62.0
Neurology,Computing,8.0
Neurology,Mind and Brain Sciences,4.0
Neurology,Psychology,20.0
Neurology,Behavioural and Cognitive Biology,8.0
Neurology,Science,4.0
Neurology,Language Evolution Studies,4.0
Neurology,Aphasia Recovery,16.0
Neurology,Oto-Rhino-Laryngology,12.0
Neurology,Population and Quantitative Health Sciences,24.0
Neurology,Neuropathology,12.0
Neurology,Computer Science and Engineering,24.0
Neurology,Electrical & Computer Engineering,8.0
Neurology,Biophysics,48.0
Neurology,Metabolic Diseases and Cell Signaling Research,16.0
