source,target,weight
Environmental Sciences and Management,Environmental Sciences,12.0
Evidence in Medicine,Epidemiology,24.0
Evidence in Medicine,Public Health Methods,6.0
Evidence in Medicine,Evidence-based Medicine and Evaluation,12.0
Evidence in Medicine,Epidemiology in Dermatology and Evaluation of Therapeutics,6.0
GIScience and Geospatial Big Data,Resource and Environmental Sciences,4.0
GIScience and Geospatial Big Data,Geography and the Environment,2.0
GIScience and Geospatial Big Data,Geography,2.0
GIScience and Geospatial Big Data,Resources and Environmental Information System,4.0
GIScience and Geospatial Big Data,Remote Sensing and Information Engineering,2.0
Management and Research,Management Studies,4.0
Management and Research,Management,2.0
Management and Research,Commerce and Science,2.0
Computer Technology Engineering,Mathematics,2.0
Computer Technology Engineering,Information Technology,2.0
Computer Technology Engineering,Medical Technology,2.0
Computer Technology Engineering,Technical Engineering,2.0
Computer Technology Engineering,Medical instruments engineering techniques,4.0
Computer Technology Engineering,CSE,2.0
Computer Technology Engineering,Research & Development,2.0
Oral Science,Dental Hygiene,20.0
Oral Science,Dental Hygiene Science,12.0
Oral Science,Oral and Maxillofacial Radiology,6.0
Oral Science,Digital Healthcare,4.0
Oral Science,Artificial Intelligence,4.0
Law School,Law,40.0
Law School,Management Science & Engineering,2.0
Law School,Computer Science,4.0
Law School,Mathematics,2.0
Law School,Economics,2.0
Law School,Science,2.0
Law School,Legal Informatics,2.0
Law School,Philosophy,2.0
Law School,Collective Goods,2.0
Law School,Law & Economics,2.0
"Physics, Chemistry, Biology",Photoelectronic Thin Film Devices and Technology,22.0
Aeronautical and Aviation Engineering,Industrial and Systems Engineering,4.0
Aeronautical and Aviation Engineering,Mechanical and Aerospace Engineering,4.0
Aeronautical and Aviation Engineering,Management and Control of Complex Systems,8.0
Aeronautical and Aviation Engineering,AI Research,4.0
Aeronautical and Aviation Engineering,Public Policy and Administration,4.0
Aeronautical and Aviation Engineering,Computer Science and Engineering,4.0
Microbial Pathogenesis and Immunology,"Biochemistry, Cell Biology & Genetics",162.0
Microbial Pathogenesis and Immunology,Clinical Sciences,162.0
Microbial Pathogenesis and Immunology,Family Medicine,162.0
Microbial Pathogenesis and Immunology,Medical Education and Simulation,162.0
Microbial Pathogenesis and Immunology,Microbiology,162.0
Microbial Pathogenesis and Immunology,Physiology,162.0
Architectural Engineering & Construction,AI Science,8.0
Cooperative Economics and Social Entrepreneurship,Sustainability,2.0
Vascular & Endovascular Surgery,Medicine,24.0
Vascular & Endovascular Surgery,Veterans Affairs Medical Center,12.0
Vascular & Endovascular Surgery,"Vascular, Endovascular & Transplantation",16.0
Vascular & Endovascular Surgery,Surgery,6.0
Military Academy,Psychiatry,4.0
Military Academy,Computer Science,4.0
Military Academy,Robotics and Internet-of-Things,8.0
Medical Microbiology and Infection Prevention,Primary-and Long-Term Care,12.0
Medical Microbiology and Infection Prevention,Data Science,6.0
Medical Microbiology and Infection Prevention,Medical Epidemiology,2.0
Medical Microbiology and Infection Prevention,Primary and Community Care,2.0
Medical Microbiology and Infection Prevention,Family Medicine,2.0
Medical Microbiology and Infection Prevention,General Practice,4.0
Medical Microbiology and Infection Prevention,Health Service,2.0
Medical Microbiology and Infection Prevention,Midwifery Science,2.0
"Orthopedic, Maternity and Gynaecology",Orthopedics,6.0
Pain Management,Anesthesia,8.0
Laboratory Medicine,Orthopedic Institute,6.0
Laboratory Medicine,Laboratory Diagnostics,6.0
Laboratory Medicine,Medicine,16.0
Laboratory Medicine,Clinical Biochemistry,6.0
Laboratory Medicine,Medical Biochemistry,6.0
Laboratory Medicine,Transfusion Medicine and Cell Therapy,6.0
Laboratory Medicine,Scientific Institute,6.0
Laboratory Medicine,Biomedical Research,2.0
Laboratory Medicine,Clinical Chemistry,12.0
Laboratory Medicine,Health Sciences,2.0
Laboratory Medicine,Artificial Intelligence in Medicine,2.0
Laboratory Medicine,Precision Medicine,6.0
Laboratory Medicine,Bioinformatics,6.0
Laboratory Medicine,Stomatology,2.0
Laboratory Medicine,Food Science and Technology,2.0
Laboratory Medicine,Information and Media,2.0
Laboratory Medicine,Pathology,2.0
Laboratory Medicine,Health Outcomes and Biomedical Informatics,6.0
Laboratory Medicine,Computer and Information Science,2.0
Laboratory Medicine,"Computational Systems Medicine, Biomedical Informatics",4.0
Laboratory Medicine,Hepatogastroenterology,2.0
Laboratory Medicine,Internal Medicine,2.0
Laboratory Medicine,Information Technology,2.0
Laboratory Medicine,Physiology and Pathophysiology,2.0
Laboratory Medicine,Internal Medicine - Gastroenterology and Geriatrics,2.0
Laboratory Medicine,Gastroenterology,2.0
Laboratory Medicine,Surgery,2.0
Strategic Management,Management,2.0
Strategic Management,Economic Sciences,2.0
Computer Applications,Instrumentation and Control Engineering,4.0
Computer Applications,Computer Science and Engineering,54.0
Computer Applications,Computer Science and Information Technology,8.0
Computer Applications,Computing Science,2.0
Computer Applications,Computer Application,4.0
Computer Applications,Artificial Intelligence & Machine Learning,2.0
Computer Applications,Computing Technologies,2.0
Computer Applications,Electronics and Communication Engineering,6.0
Computer Applications,Mechanical Engineering,2.0
Computer Applications,Computer Science,4.0
Computer Applications,Machine Learning,2.0
Computer Applications,Computer Science Engineering,2.0
Computer Applications,Data Science,2.0
Computer Applications,Computer Science & Engineering,4.0
Computer Applications,CSE,2.0
Computer Applications,Aeronautical Engineering,2.0
Computer Applications,Engineering & Technology,2.0
Computer Applications,Forensic Sciences,2.0
Forestry and Wood Sciences,Analytical Chemistry,4.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences","Computer Science and Engineering, Endocrinology and Metabolism",28.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Ophthalmology,36.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Ophthalmology and Visual Sciences,12.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Medicine,8.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Renal Medicine,6.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Vitreoretinal Services,4.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Medicine and Therapeutics,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Eye Research,14.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Endocrinology and Metabolism,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Internal Medicine,6.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Geriatrics,6.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Family Medicine,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Primary Care Medicine,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Endocrinology,12.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences","Electronic, Information, and Electrical Engineering",22.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",AI Industry Research,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Automation,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Eye Health,4.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Diabetes Innovations,2.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Biomedical Research,4.0
"Medicine, Endocrinology, Metabolism, Nutrition, Population Health Sciences",Biomedical Research in Diabetes and Associated Metabolic Diseases,2.0
Biomaterials and Biomedical Engineering,Nursing,6.0
Biomaterials and Biomedical Engineering,Medical Imaging,6.0
Biomaterials and Biomedical Engineering,Computer Science,2.0
Biomaterials and Biomedical Engineering,Artificial Intelligence,2.0
Behavioural Ecology,Desert Ecology,2.0
Behavioural Ecology,Biological Sciences,2.0
Behavioural Ecology,"Fish, Wildlife, and Conservation Biology",2.0
Behavioural Ecology,Ecology & Evolutionary Biology,2.0
Behavioural Ecology,Organismal and Evolutionary Biology,2.0
Behavioural Ecology,"Biological, Earth and Environmental Sciences",6.0
Behavioural Ecology,Conservation Science and Wildlife Health,2.0
Behavioural Ecology,Life and Environmental Sciences,2.0
Behavioural Ecology,Biology,2.0
"Anaesthesiology, Intensive Care and Emergency Medicine",Clinical Nutrition,12.0
"Anaesthesiology, Intensive Care and Emergency Medicine",General and Transplant Surgery,6.0
Interdisciplinary Studies,Statistical Sciences,2.0
Interdisciplinary Studies,Mathematical Sciences,2.0
Interdisciplinary Studies,Mathematical Research,2.0
Interdisciplinary Studies,Biostatistics,2.0
Interdisciplinary Studies,Computer Science,16.0
Interdisciplinary Studies,Computer Science and Engineering,16.0
Interdisciplinary Studies,Industrial Internet Safety and Security,4.0
Interdisciplinary Studies,Urban Safety Risk Monitoring and Early Warning,4.0
Interdisciplinary Studies,Public Safety and Technology,4.0
Interdisciplinary Studies,"Literature, Media, and Communication",2.0
Interdisciplinary Studies,Design,4.0
Interdisciplinary Studies,Science and Technology,2.0
Interdisciplinary Studies,Affective Systems and Cognition Lab,2.0
Interdisciplinary Studies,Technological Innovations,4.0
Interdisciplinary Studies,Information Technology,4.0
Interdisciplinary Studies,Science and Engineering,4.0
Interdisciplinary Studies,Economics and Business,2.0
Interdisciplinary Studies,Academic Development,2.0
Interdisciplinary Studies,"Engineering, Applied Science and Technology",2.0
Interdisciplinary Studies,Intelligent Computing and Language Information Processing,4.0
Interdisciplinary Studies,AI and Targeted International Communication,2.0
Interdisciplinary Studies,Cognition and Decision Intelligence for Complex Systems,2.0
Interdisciplinary Studies,Intelligent Systems,8.0
Interdisciplinary Studies,Software Engineering,4.0
Interdisciplinary Studies,Technical Education,4.0
Interdisciplinary Studies,Electrical Engineering,4.0
Interdisciplinary Studies,Information Science,6.0
Interdisciplinary Studies,Management,2.0
Interdisciplinary Studies,Computer & Emerging Sciences,2.0
Interdisciplinary Studies,Computational Media and Arts,6.0
Dermatology and Allergy,Orthopedics and Trauma Surgery,24.0
Dermatology and Allergy,Ophthalmology,4.0
Dermatology and Allergy,Medicine,12.0
Dermatology and Allergy,Dermatology and Venerology,2.0
Dermatology and Allergy,Dermatology,12.0
Dermatology and Allergy,Medicine and Health Sciences,2.0
Dermatology and Allergy,Medical Intelligence Ops,2.0
Dermatology and Allergy,Cancer Center,2.0
Dermatology and Allergy,Gynecology,8.0
Dermatology and Allergy,Pathology,6.0
Dermatology and Allergy,Personalized Medicine,4.0
Dermatology and Allergy,Clinical Chemistry and Pathobiochemistry,2.0
